Index,Title,Price,Rating,Availability,ScrapedAt
1,"A Light in the Attic",£51.77,Three,In stock,5/15/2026, 8:52:04 AM
2,"Tipping the Velvet",£53.74,One,In stock,5/15/2026, 8:52:04 AM
3,"Soumission",£50.10,One,In stock,5/15/2026, 8:52:04 AM
4,"Sharp Objects",£47.82,Four,In stock,5/15/2026, 8:52:04 AM
5,"Sapiens: A Brief History of Humankind",£54.23,Five,In stock,5/15/2026, 8:52:04 AM
6,"The Requiem Red",£22.65,One,In stock,5/15/2026, 8:52:04 AM
7,"The Dirty Little Secrets of Getting Your Dream Job",£33.34,Four,In stock,5/15/2026, 8:52:04 AM
8,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,Three,In stock,5/15/2026, 8:52:04 AM
9,"The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics",£22.60,Four,In stock,5/15/2026, 8:52:04 AM
10,"The Black Maria",£52.15,One,In stock,5/15/2026, 8:52:04 AM
11,"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,Two,In stock,5/15/2026, 8:52:04 AM
12,"Shakespeare's Sonnets",£20.66,Four,In stock,5/15/2026, 8:52:04 AM
13,"Set Me Free",£17.46,Five,In stock,5/15/2026, 8:52:04 AM
14,"Scott Pilgrim's Precious Little Life (Scott Pilgrim #1)",£52.29,Five,In stock,5/15/2026, 8:52:04 AM
15,"Rip it Up and Start Again",£35.02,Five,In stock,5/15/2026, 8:52:04 AM
16,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,Three,In stock,5/15/2026, 8:52:04 AM
17,"Olio",£23.88,One,In stock,5/15/2026, 8:52:04 AM
18,"Mesaerion: The Best Science Fiction Stories 1800-1849",£37.59,One,In stock,5/15/2026, 8:52:04 AM
19,"Libertarianism for Beginners",£51.33,Two,In stock,5/15/2026, 8:52:04 AM
20,"It's Only the Himalayas",£45.17,Two,In stock,5/15/2026, 8:52:04 AM
